iter	Logloss
0	0.6459997408
1	0.6028981601
2	0.5646242555
3	0.5298706434
4	0.4968389884
5	0.4666476014
6	0.4389086242
7	0.4143969364
8	0.3926699471
9	0.3734923223
10	0.3553054298
11	0.3388857599
12	0.3237065221
13	0.3106211044
14	0.2984683269
15	0.2872491579
16	0.2774753658
17	0.2687500352
18	0.2605427592
19	0.2526258121
20	0.2459220103
21	0.2399114392
22	0.2347330561
23	0.229431164
24	0.2242656659
25	0.2194154465
26	0.2154284153
27	0.2113545197
28	0.2079581461
29	0.2044238633
30	0.2014440798
31	0.1990588825
32	0.1966016836
33	0.194096302
34	0.1918014671
35	0.1899437268
36	0.1881796593
37	0.1861725663
38	0.1844912088
39	0.1829815675
40	0.1816755959
41	0.180569311
42	0.1792217642
43	0.1781459797
44	0.1772115911
45	0.1762097089
46	0.1753325147
47	0.1743652371
48	0.173529362
49	0.1728811511
50	0.1724011618
51	0.1716785296
52	0.1710237694
53	0.1702469718
54	0.1696800717
55	0.1690938939
56	0.1685989728
57	0.1680444224
58	0.1674932743
59	0.1670901297
60	0.1665235188
61	0.1661360401
62	0.1655505489
63	0.1652484744
64	0.1649314476
65	0.1646640756
66	0.1642772437
67	0.1640627437
68	0.1637449484
69	0.1632970628
70	0.1631160042
71	0.1628090006
72	0.1624800221
73	0.1622655646
74	0.1620144862
75	0.161813683
76	0.1615994647
77	0.1614277969
78	0.161248508
79	0.1611069584
80	0.1609326987
81	0.1607216234
82	0.1605441251
83	0.1603791028
84	0.1602484643
85	0.1599886248
86	0.1598911459
87	0.1597810512
88	0.1596233726
89	0.1594377069
90	0.1593095336
91	0.1592037587
92	0.1590027721
93	0.1588746645
94	0.1587228128
95	0.1585793659
96	0.1583313386
97	0.1582194964
98	0.1581153731
99	0.1579919265
100	0.1578071171
101	0.1576909743
102	0.1575412188
103	0.157440171
104	0.1573650961
105	0.1572502615
106	0.1571313874
107	0.1569832012
108	0.1569055705
109	0.156812108
110	0.15669679
111	0.1566026788
112	0.156526083
113	0.1564296238
114	0.1563528544
115	0.1562697937
116	0.1561684422
117	0.1560854664
118	0.1559708768
119	0.1558957668
120	0.155842382
121	0.1557638694
122	0.1556798365
123	0.1556243917
124	0.1555502981
125	0.1553811165
126	0.1553052258
127	0.1552299129
128	0.1551387362
129	0.1550766506
130	0.1549862643
131	0.1548693536
132	0.1548049582
133	0.1547405216
134	0.1546182749
135	0.154567589
136	0.1544678217
137	0.1543783835
138	0.154333327
139	0.1542709752
140	0.1541807985
141	0.1540979559
142	0.1540112806
143	0.1539363645
144	0.1538697088
145	0.15375045
146	0.1536767685
147	0.1535958716
148	0.1535276755
149	0.1534661107
150	0.1533972318
151	0.1533573213
152	0.1532830841
153	0.1531738136
154	0.1531432179
155	0.1530633601
156	0.1529549279
157	0.1529071567
158	0.1528248843
159	0.1527582595
160	0.1526838562
161	0.1526077402
162	0.1525463122
163	0.152474737
164	0.1524192103
165	0.1523369351
166	0.1522782628
167	0.1521213712
168	0.1519623081
169	0.1518991809
170	0.1518067335
171	0.1517709655
172	0.1516912862
173	0.1516570479
174	0.1516061774
175	0.1515450284
176	0.1514776465
177	0.1513914587
178	0.1513226909
179	0.151263322
180	0.15121359
181	0.1511517222
182	0.1510565179
183	0.1509610644
184	0.1508644258
185	0.1507931896
186	0.150733635
187	0.1506434611
188	0.1505805622
189	0.1504919465
190	0.1504125525
191	0.1503450091
192	0.1502549362
193	0.150172878
194	0.1501103217
195	0.1500526042
196	0.1499876049
197	0.1499498252
198	0.1498947914
199	0.1498360439
200	0.1497831083
201	0.1497076206
202	0.1496507095
203	0.149611154
204	0.1495732453
205	0.1494923662
206	0.1494365814
207	0.1493477813
208	0.1492717981
209	0.149229233
210	0.1491405431
211	0.1490931949
212	0.1490373865
213	0.1489948159
214	0.148936533
215	0.1488794785
216	0.1488398624
217	0.1487716703
218	0.1487235596
219	0.1486597461
220	0.1485726866
221	0.1485319858
222	0.1484920318
223	0.1483759585
224	0.1483515188
225	0.1483204359
226	0.1482729474
227	0.1481992596
228	0.1481062461
229	0.1480623587
230	0.1480309448
231	0.1479843986
232	0.1479134274
233	0.1478432388
234	0.1477639027
235	0.147695521
236	0.1476520444
237	0.1475798546
238	0.1475451159
239	0.1474989413
240	0.1474269663
241	0.1473477152
242	0.1472912316
243	0.1472627387
244	0.1472329855
245	0.1471757816
246	0.1471245977
247	0.146976788
248	0.1469099551
249	0.1467901071
250	0.1467419977
251	0.1466825499
252	0.1466352702
253	0.1465913656
254	0.1465602801
255	0.1465170565
256	0.146464778
257	0.1464249014
258	0.1462639878
259	0.1462074728
260	0.1461642501
261	0.1461178232
262	0.1460809494
263	0.1460113123
264	0.1459535583
265	0.1458937843
266	0.1458297417
267	0.1457746303
268	0.1456948055
269	0.1456476736
270	0.1456090853
271	0.1454930654
272	0.1454662397
273	0.1454424252
274	0.1454040107
275	0.1453479678
276	0.1452969165
277	0.1452235947
278	0.145113896
279	0.1450513995
280	0.1449413127
281	0.1448783324
282	0.1448417899
283	0.1448153338
284	0.1447709441
285	0.1447051356
286	0.1446124334
287	0.1444668355
288	0.144402679
289	0.1443074972
290	0.1442707971
291	0.1441992097
292	0.1440425134
293	0.1440066168
294	0.1439465641
295	0.1438385523
296	0.1437563245
297	0.1436937794
298	0.1436419771
299	0.1434995421
300	0.1434012911
301	0.1433468857
302	0.1432840707
303	0.1431904738
304	0.1431254169
305	0.1429881995
306	0.142950992
307	0.1428371316
308	0.1427921967
309	0.1427403973
310	0.1426446895
311	0.1425662337
312	0.1424915633
313	0.1424209261
314	0.1423707732
315	0.142295899
316	0.1422046474
317	0.1421482057
318	0.1421039743
319	0.1420377261
320	0.141996777
321	0.1419182403
322	0.1418622691
323	0.1418285742
324	0.1417806856
325	0.1417579191
326	0.141665435
327	0.1416260008
328	0.1415760251
329	0.1415279347
330	0.1414906929
331	0.1414411271
332	0.1413617949
333	0.1413027835
334	0.1411904698
335	0.1411334577
336	0.1410939971
337	0.1410511027
338	0.1410289535
339	0.1409986836
340	0.1408908693
341	0.1408410403
342	0.1408169013
343	0.1407656747
344	0.1406997603
345	0.1406438545
346	0.1405941504
347	0.1405496927
348	0.1404969752
349	0.1404655073
350	0.1404401049
351	0.1403356348
352	0.1402951888
353	0.1402490825
354	0.1401942422
355	0.1401351562
356	0.1400545992
357	0.140034111
358	0.1400014506
359	0.1398375317
360	0.139805248
361	0.1397696966
362	0.1397307971
363	0.1397048139
364	0.1396484483
365	0.1395185294
366	0.1395001154
367	0.1394613256
368	0.1394244739
369	0.1393933403
370	0.1393343626
371	0.1393048525
372	0.1392826136
373	0.1392654237
374	0.1391997638
375	0.1391594737
376	0.1391305462
