model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_3_AutoML_1_20240520_105000,0.811806005428414,0.1567884151460657,0.2678994568904584,0.336779775258965,0.2002096097052734,0.0400838878183379,657,0.011231,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_1_20240520_105000,0.8114248221464553,0.1568766476417578,0.2656618095777014,0.3459196198158059,0.2002488613042181,0.0400996064536359,828,0.008419,StackedEnsemble
StackedEnsemble_AllModels_2_AutoML_1_20240520_105000,0.8113615703424217,0.1566070558562149,0.2723723099785479,0.3301595568568191,0.2000552035359892,0.040022084461826,857,0.008452,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20240520_105000,0.8113306161652419,0.1567908905903482,0.2683558885139455,0.3471809819728794,0.200156266426977,0.040062530989987,1847,0.00709,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20240520_105000,0.8113224732151778,0.156773074831205,0.2691845521327251,0.3275499469913143,0.2001931381035579,0.0400772925437502,1006,0.008082,StackedEnsemble
XGBoost_1_AutoML_1_20240520_105000,0.8061651344211876,0.1589678890969809,0.2590460964657755,0.3412123914972467,0.2013871490530241,0.0405567838037049,1321,0.00356,XGBoost
GBM_1_AutoML_1_20240520_105000,0.7985442379333818,0.1587155055756107,0.2626500510830574,0.3441012743908772,0.2005772103103561,0.0402312172958848,962,0.006902,GBM
XGBoost_2_AutoML_1_20240520_105000,0.7984955995717192,0.1607327468188576,0.2557733869938918,0.3439880133581668,0.2021571707434317,0.040867521682989,673,0.002867,XGBoost
GBM_3_AutoML_1_20240520_105000,0.7939961672751671,0.1631246388230479,0.2339968335060283,0.358120582997937,0.2039975598785073,0.0416150044363851,601,0.006535,GBM
GBM_2_AutoML_1_20240520_105000,0.7895577111434051,0.1637257042358433,0.2310507949725946,0.35085959393603,0.2038450840838255,0.0415528183051419,356,0.004559,GBM
XGBoost_3_AutoML_1_20240520_105000,0.7881717645920843,0.1647275500411072,0.2440204179814939,0.3478310745283367,0.2027332763039733,0.0411007813209431,212,0.001639,XGBoost
GBM_4_AutoML_1_20240520_105000,0.7881538884862195,0.1646603005049467,0.228985156336265,0.3455643459204149,0.2050476468226675,0.0420445374675133,561,0.006051,GBM
GBM_5_AutoML_1_20240520_105000,0.7859776919359132,0.1666259803060578,0.2205352243046095,0.3552829156959557,0.2046473504268729,0.0418805380367393,163,0.002685,GBM
GLM_1_AutoML_1_20240520_105000,0.7834658797231989,0.1632490736081366,0.2466949320259231,0.3717597501819689,0.2027755846390194,0.0411179377256961,347,0.000964,GLM
XGBoost_grid_1_AutoML_1_20240520_105000_model_1,0.7618986047534868,0.4800883238071487,0.2082777733876656,0.361574208266723,0.3820300468468678,0.14594695669382,31,0.000422,XGBoost
DRF_1_AutoML_1_20240520_105000,0.7327220582482491,0.2233864120073928,0.1993906932465285,0.3619527869013547,0.2080543420039971,0.0432866092267162,392,0.002937,DRF
XRT_1_AutoML_1_20240520_105000,0.7153615628849052,0.1757531658685371,0.1760395372734357,0.3861964055428211,0.2074860666832468,0.0430504678676847,131,0.001322,DRF
